URL,No,Bank,State,City,Branch,Street,BSB
https://www.thebsbnumbers.com/anz-bank/page/3/,102,ANZ Bank,NSW,Glendale,Glendale,Sh 50 Stockland Glendale387 Lake Rd,012-493
https://www.thebsbnumbers.com/anz-bank/page/3/,103,ANZ Bank,NSW,Glendale,Merged,Refer to BSB 012-493 02/16,012-563
https://www.thebsbnumbers.com/anz-bank/page/3/,104,ANZ Bank,NSW,Glenmore Park,Glenmore Park,33 Town Terrace  Glenmore Park T/C,012-098
https://www.thebsbnumbers.com/anz-bank/page/3/,105,ANZ Bank,NSW,Gordon,Gordon,775 Pacific Highway,012-294
https://www.thebsbnumbers.com/anz-bank/page/3/,106,ANZ Bank,NSW,Gosford,Gosford,160 Mann St,012-633
https://www.thebsbnumbers.com/anz-bank/page/3/,107,ANZ Bank,NSW,Goulburn,Goulburn,190 Auburn Street,012-635
https://www.thebsbnumbers.com/anz-bank/page/3/,108,ANZ Bank,NSW,Grafton,Grafton,Shp T23  52-74 Fitzroy Street,012-645
https://www.thebsbnumbers.com/anz-bank/page/3/,109,ANZ Bank,NSW,Grenfell,Grenfell,77 Main Street,012-655
https://www.thebsbnumbers.com/anz-bank/page/3/,110,ANZ Bank,NSW,Griffith,Griffith,202 Banna Avenue,012-657
https://www.thebsbnumbers.com/anz-bank/page/3/,111,ANZ Bank,NSW,Gunnedah,Gunnedah,Cnr Conadilly & Marquis Streets,012-665
https://www.thebsbnumbers.com/anz-bank/page/3/,112,ANZ Bank,NSW,Hamilton,Hamilton,109 Beaumont Street,012-670
https://www.thebsbnumbers.com/anz-bank/page/3/,113,ANZ Bank,NSW,Hay,Hay,104 Lachlan Street,012-675
https://www.thebsbnumbers.com/anz-bank/page/3/,,,,,,,
https://www.thebsbnumbers.com/anz-bank/page/3/,114,ANZ Bank,NSW,Horningsea Park,Carnes Hill,Cnr Cowpasture Rd & Greenway Dr,012-272
https://www.thebsbnumbers.com/anz-bank/page/3/,115,ANZ Bank,NSW,Hornsby,Hornsby,19 Hunter Street,012-306
https://www.thebsbnumbers.com/anz-bank/page/3/,116,ANZ Bank,NSW,Hornsby,Royal Wolf Trading Aust P/L,(NBFI Agency to 013-000),013-907
https://www.thebsbnumbers.com/anz-bank/page/3/,117,ANZ Bank,NSW,Hurstville,Hurstville,6 Cross Street,012-402
https://www.thebsbnumbers.com/anz-bank/page/3/,118,ANZ Bank,NSW,Huskisson,Huskisson,57 Owen Street,012-862
https://www.thebsbnumbers.com/anz-bank/page/3/,119,ANZ Bank,NSW,Inverell,Inverell,114 Byron Street,012-685
https://www.thebsbnumbers.com/anz-bank/page/3/,120,ANZ Bank,NSW,Jerilderie,Jerilderie,14 Jerilderie Street,012-695
https://www.thebsbnumbers.com/anz-bank/page/3/,121,ANZ Bank,NSW,Junee,Junee,97 Broadway,012-700
https://www.thebsbnumbers.com/anz-bank/page/3/,122,ANZ Bank,NSW,Katoomba,Katoomba,56 Katoomba Street,012-702
https://www.thebsbnumbers.com/anz-bank/page/3/,123,ANZ Bank,NSW,Kempsey,Kempsey,40 Smith Street,012-703
https://www.thebsbnumbers.com/anz-bank/page/3/,124,ANZ Bank,NSW,Kensington,University of NSW,Quadrangle Bldg  330 Anzac Parade,012-077
https://www.thebsbnumbers.com/anz-bank/page/3/,125,ANZ Bank,NSW,Kiama,Kiama,1/125 Terralong Street,012-709
https://www.thebsbnumbers.com/anz-bank/page/3/,126,ANZ Bank,NSW,Kingsford,Kingsford,337 Anzac Parade,012-303
https://www.thebsbnumbers.com/anz-bank/page/3/,,,,,,,
https://www.thebsbnumbers.com/anz-bank/page/3/,127,ANZ Bank,NSW,Kingsgrove,Kingsgrove,259 Kingsgrove Road,012-305
https://www.thebsbnumbers.com/anz-bank/page/3/,128,ANZ Bank,NSW,Kogarah,Kogarah,58-60 Railway Parade,012-310
https://www.thebsbnumbers.com/anz-bank/page/3/,129,ANZ Bank,NSW,Kotara,Kotara,1020-21 Cnr Northcott Dr Park Ave,012-672
https://www.thebsbnumbers.com/anz-bank/page/3/,130,ANZ Bank,NSW,Lake Haven,Lake Haven,Shop 38 Lake Haven Drive,012-877
https://www.thebsbnumbers.com/anz-bank/page/3/,131,ANZ Bank,NSW,Lakemba,Closed,Refer to BSB 012-397 06/09,012-313
https://www.thebsbnumbers.com/anz-bank/page/3/,132,ANZ Bank,NSW,Lane Cove,Lane Cove,17 Burns Bay Road,012-315
https://www.thebsbnumbers.com/anz-bank/page/3/,133,ANZ Bank,NSW,Laurieton,Laurieton,53 Bold Street,012-714
https://www.thebsbnumbers.com/anz-bank/page/3/,134,ANZ Bank,NSW,Lavington,Lavington,Shop 80 Centre Lavington,012-708
https://www.thebsbnumbers.com/anz-bank/page/3/,135,ANZ Bank,NSW,Leeton,Leeton,63 Pine Avenue,012-712
https://www.thebsbnumbers.com/anz-bank/page/3/,136,ANZ Bank,NSW,Leichhardt,Leichhardt,5 Leichhardt Market Place,012-205
https://www.thebsbnumbers.com/anz-bank/page/3/,137,ANZ Bank,NSW,Lindfield,Lindfield,306 Pacific Highway,012-323
https://www.thebsbnumbers.com/anz-bank/page/3/,,,,,,,
https://www.thebsbnumbers.com/anz-bank/page/3/,138,ANZ Bank,NSW,Lismore,Lismore,82 Woodlark Street,012-715
https://www.thebsbnumbers.com/anz-bank/page/3/,139,ANZ Bank,NSW,Lismore ,Merged,Refer to BSB 012-715 06/14,012-113
https://www.thebsbnumbers.com/anz-bank/page/3/,140,ANZ Bank,NSW,Lithgow,Lithgow,Cnr Main and Eskbank Streets,012-716
https://www.thebsbnumbers.com/anz-bank/page/3/,141,ANZ Bank,NSW,Liverpool,Liverpool,3 Liverpol Plz 165-191 Macquarie St,012-325
https://www.thebsbnumbers.com/anz-bank/page/3/,142,ANZ Bank,NSW,Macquarie Park,METCASH LIMITED,1 THOMAS HOLT DRIVE,012-994
https://www.thebsbnumbers.com/anz-bank/page/3/,143,ANZ Bank,NSW,Macquarie Park,METCASH LIMITED,1 THOMAS HOLT DRIVE,014-994
https://www.thebsbnumbers.com/anz-bank/page/3/,144,ANZ Bank,NSW,Maitland,Maitland,1/12 Elgin Street,012-720
https://www.thebsbnumbers.com/anz-bank/page/3/,145,ANZ Bank,NSW,Maitland,Maitland Mutual Building Soc Ltd,417 High St (example only),012-773
https://www.thebsbnumbers.com/anz-bank/page/3/,146,ANZ Bank,NSW,Manly,Manly,59 The Corso,012-330
https://www.thebsbnumbers.com/anz-bank/page/3/,147,ANZ Bank,NSW,Maroubra,Maroubra Junction,1/707-745 Anzac Parade,012-336
https://www.thebsbnumbers.com/anz-bank/page/3/,148,ANZ Bank,NSW,Marrickville,Marrickville Metro,Shop 2  34 Victoria Road,012-301
https://www.thebsbnumbers.com/anz-bank/page/3/,149,ANZ Bank,NSW,Marrickville,Merged,merging with 012-301,012-340
https://www.thebsbnumbers.com/anz-bank/page/3/,150,ANZ Bank,NSW,Mascot,ANZ Foreign Exchange Branch,Link Road,012-756
https://www.thebsbnumbers.com/anz-bank/page/4/,,,,,,,
https://www.thebsbnumbers.com/anz-bank/page/4/,151,ANZ Bank,NSW,Mascot,Mascot,1191 Botany Road,012-345
https://www.thebsbnumbers.com/anz-bank/page/4/,152,ANZ Bank,NSW,Mascot,Remondis Australia Pty Ltd,(NBFI Agency to 016-000),016-989
https://www.thebsbnumbers.com/anz-bank/page/4/,153,ANZ Bank,NSW,Menai,Menai,"Shop T40, Menai Marketplace",012-081
https://www.thebsbnumbers.com/anz-bank/page/4/,154,ANZ Bank,NSW,Merimbula,Merimbula,Shop 4  17 Merimbula Drive,012-601
